workload_id,actual_best_policy,pred_best_policy,true_best_rank_in_pred,topk,topk_hit,top1_hit,actual_best_score_mean,actual_score_mean_of_pred_choice,actual_regret,pred_topk_policies
W2377,EC-4-2,EC-3-2,2,3,1,0,269.193685598475,490.7063945016489,221.51270890317392,"EC-3-2,EC-4-2,EC-2-2"
W2378,EC-3-2,EC-2-2,2,3,1,0,258.7708580990693,662.7997142002187,404.02885610114936,"EC-2-2,EC-3-2,EC-4-2"
W2393,EC-3-2,EC-3-2,1,3,1,1,444.1677170264484,444.1677170264484,0.0,"EC-3-2,EC-4-3,EC-4-2"
W2395,EC-3-2,EC-3-2,1,3,1,1,400.4136543993809,400.4136543993809,0.0,"EC-3-2,EC-4-3,EC-4-2"
W2405,EC-3-2,EC-3-2,1,3,1,1,173.20102199937537,173.20102199937537,0.0,"EC-3-2,EC-4-3,EC-2-2"
W2408,EC-4-2,EC-4-2,1,3,1,1,217.98451500217197,217.98451500217197,0.0,"EC-4-2,EC-2-2,EC-3-2"
W2412,EC-3-2,EC-3-2,1,3,1,1,185.63132700091955,185.63132700091955,0.0,"EC-3-2,EC-4-3,EC-8-3"
W2415,EC-3-2,EC-2-2,2,3,1,0,168.18832199896863,188.4552330002407,20.266911001272064,"EC-2-2,EC-3-2,EC-4-3"
W2418,EC-2-2,EC-2-2,1,3,1,1,192.967846499414,192.967846499414,0.0,"EC-2-2,EC-4-3,EC-6-3"
W2419,EC-2-2,EC-2-2,1,3,1,1,188.0979810007375,188.0979810007375,0.0,"EC-2-2,EC-3-2,EC-4-3"
W2426,EC-2-2,EC-3-2,4,3,0,0,179.41709400065517,251.8542960015111,72.43720200085593,"EC-3-2,EC-4-2,EC-4-3"
W2442,EC-3-2,EC-3-2,1,3,1,1,252.39951449839282,252.39951449839282,0.0,"EC-3-2,EC-4-3,EC-8-4"
W2443,EC-4-3,EC-4-3,1,3,1,1,308.5993349986893,308.5993349986893,0.0,"EC-4-3,EC-8-3,EC-6-3"
W2454,EC-4-2,EC-4-2,1,3,1,1,304.97813500142,304.97813500142,0.0,"EC-4-2,EC-3-2,EC-5-3"
W2459,EC-4-2,EC-3-2,4,3,0,0,286.374944999352,1180.4951459989752,894.1202009996232,"EC-3-2,EC-2-2,EC-6-3"
W2471,EC-3-2,EC-2-2,2,3,1,0,325.35294233290796,328.84487733213064,3.4919349992226785,"EC-2-2,EC-3-2,EC-8-4"
W2473,EC-2-2,EC-2-2,1,3,1,1,305.5918526676275,305.5918526676275,0.0,"EC-2-2,EC-4-2,EC-7-3"
