workload_id,policy_name,file_size_mb,num_objects,concurrency,read_ratio,failure_state,total_mb,read_mb,write_mb,per_thread_mb,io_intensity,payload_bytes,data_disks_used_pct_before,mem_available_kb_before,load1_before,cpu_steal_pct_before,runnable_procs,dirty_kb,writeback_kb,swap_activity_delta,disk_reads_delta_max,disk_writes_delta_max,disk_io_time_ms_delta_max,disk_weighted_io_time_delta_max,disk_sectors_rw_delta_max,failed_disks,failed_nodes,failure_disk,time_since_last_failure_s,avg_upload_ms,p95_upload_ms,avg_download_ms,p95_download_ms,reconstruction_time_ms
W0011,EC-10-4,0.015625,1,2,0.8,1,0.015625,0.0125,0.0031249999999999,0.0078125,0.03125,16384,71.46735041262475,1492592,24.38,0.0,1,5840,0,0.0,42.0,18.0,244.0,188.0,738.0,1,1,d1,0.8582878112792969,409.61054199942737,409.61054199942737,40.3121019990067,40.3121019990067,40.95510899787769
W0011,EC-2-2,0.015625,1,2,0.8,1,0.015625,0.0125,0.0031249999999999,0.0078125,0.03125,16384,49.66866799846466,2368368,9.34,0.0,3,4636,0,0.0,8.0,19.0,188.0,140.0,493.0,1,1,d1,0.3066051006317138,40.52113200032181,40.52113200032181,11.64176599968414,11.64176599968414,12.221603999932997
W0011,EC-3-2,0.015625,1,2,0.8,1,0.015625,0.0125,0.0031249999999999,0.0078125,0.03125,16384,52.27940005844791,2383260,9.41,0.0,1,9808,0,0.0,6.0,10.0,176.0,204.0,224.0,1,1,d1,0.2911624908447265,34.21469299973978,34.21469299973978,13.63091299936059,13.63091299936059,14.163890999952857
W0011,EC-4-2,0.015625,1,2,0.8,1,0.015625,0.0125,0.0031249999999999,0.0078125,0.03125,16384,54.64106608538629,2366344,7.87,0.0,1,12448,0,0.0,13.0,32.0,72.0,4.0,698.0,1,1,d1,0.3947658538818359,129.9810399996204,129.9810399996204,14.521783999953186,14.521783999953186,14.99134799996682
W0011,EC-4-3,0.015625,1,2,0.8,1,0.015625,0.0125,0.0031249999999999,0.0078125,0.03125,16384,57.23412201653989,2226200,13.22,0.0,1,7436,0,0.0,23.0,15.0,328.0,336.0,776.0,1,1,d1,0.3192324638366699,47.787155001060455,47.787155001060455,17.31884400032868,17.31884400032868,17.752623001797474
W0011,EC-5-3,0.015625,1,2,0.8,1,0.015625,0.0125,0.0031249999999999,0.0078125,0.03125,16384,59.69852304548469,2012644,11.49,0.0,1,7616,0,0.0,10.0,29.0,152.0,108.0,426.0,1,1,d1,0.4333863258361816,157.4272439993365,157.4272439993365,18.17572700019809,18.17572700019809,18.779126001390978
W0011,EC-6-3,0.015625,1,2,0.8,1,0.015625,0.0125,0.0031249999999999,0.0078125,0.03125,16384,62.088626539709686,1954976,15.91,0.0,1,10260,0,0.0,16.0,66.0,88.0,4.0,1072.0,1,1,d1,0.4663312435150146,172.76445400057128,172.76445400057128,17.814483999245567,17.814483999245567,18.512347000068985
W0011,EC-7-3,0.015625,1,2,0.8,1,0.015625,0.0125,0.0031249999999999,0.0078125,0.03125,16384,64.37162506978854,1901316,15.58,0.0,1,10188,0,0.0,27.0,36.0,72.0,0.0,383.0,1,1,d1,0.4550168514251709,180.4374999992433,180.4374999992433,28.617537000172888,28.617537000172888,29.84279199881712
W0011,EC-8-3,0.015625,1,2,0.8,1,0.015625,0.0125,0.0031249999999999,0.0078125,0.03125,16384,66.69616550134343,1778284,15.47,0.0,5,10708,0,0.0,46.0,13.0,376.0,620.0,735.0,1,1,d1,0.5664265155792236,267.0612729998538,267.0612729998538,27.251318002527118,27.251318002527118,33.08226800072589
W0011,EC-8-4,0.015625,1,2,0.8,1,0.015625,0.0125,0.0031249999999999,0.0078125,0.03125,16384,69.14424936972225,1712696,21.37,0.0,2,10204,0,0.0,58.0,39.0,460.0,740.0,1114.0,1,1,d1,0.3428895473480224,63.31322900223313,63.31322900223313,21.00362199780648,21.00362199780648,21.46382499995525
W0014,EC-10-4,0.015625,1,3,0.2,1,0.015625,0.003125,0.0125,0.0052083333333333,0.046875,16384,71.46738857823296,1490724,24.38,0.0,1,5840,0,0.0,58.0,32.0,428.0,480.0,934.0,1,1,d1,0.6971428394317627,342.95483000096283,342.95483000096283,49.66167000020505,49.66167000020505,50.34080100085703
W0014,EC-2-2,0.015625,1,3,0.2,1,0.015625,0.003125,0.0125,0.0052083333333333,0.046875,16384,49.66869117044107,2366360,9.34,0.0,2,4948,0,0.0,7.0,18.0,176.0,132.0,438.0,1,1,d1,0.3168721199035644,51.59258399999089,51.59258399999089,11.493091999909666,11.493091999909666,11.832798999876104
W0014,EC-3-2,0.015625,1,3,0.2,1,0.015625,0.003125,0.0125,0.0052083333333333,0.046875,16384,52.27938233870124,2382216,9.41,0.0,2,9776,0,0.0,9.0,25.0,116.0,300.0,462.0,1,1,d1,0.2790446281433105,29.953451999972454,29.953451999972454,12.965751000592718,12.965751000592718,13.469941000039398
W0014,EC-4-2,0.015625,1,3,0.2,1,0.015625,0.003125,0.0125,0.0052083333333333,0.046875,16384,54.64105790704168,2365384,7.87,0.0,1,6116,0,0.0,12.0,27.0,200.0,152.0,480.0,1,1,d1,0.4182965755462646,128.69236999995337,128.69236999995337,25.76939000027778,25.76939000027778,26.30860899989784
W0014,EC-4-3,0.015625,1,3,0.2,1,0.015625,0.003125,0.0125,0.0052083333333333,0.046875,16384,57.2341792649522,2225580,13.22,0.0,2,7560,0,0.0,14.0,18.0,220.0,144.0,543.0,1,1,d1,0.318960428237915,44.02499599927978,44.02499599927978,12.814390000130516,12.814390000130516,13.268012000480669
